time_utc,satellite_1,satellite_2,distance_km
2025-04-06 03:59:28,O3B FM19,O3B FM13,2.768980601850542
2025-04-06 03:59:28,TANDEM X,TERRA SAR X,0.6517504954240642
2025-04-06 04:09:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 04:09:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 04:09:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 04:09:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 04:09:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
2025-04-06 04:09:28,PROGRESS MS-30,PROGRESS MS-29,0.0
2025-04-06 04:09:28,PROGRESS MS-30,SOYUZ MS-26,0.0
2025-04-06 04:09:28,PROGRESS MS-30,ISS (NAUKA),0.0
2025-04-06 04:09:28,PROGRESS MS-30,ISS (ZARYA),0.0
2025-04-06 04:09:28,COSMOS 2582,COSMOS 2581,0.13787960643535255
2025-04-06 04:09:28,SUPERVIEW NEO-2 04,SUPERVIEW NEO-2 03,1.4473651698683816
2025-04-06 04:09:28,PROGRESS MS-29,SOYUZ MS-26,0.0
2025-04-06 04:09:28,PROGRESS MS-29,ISS (NAUKA),0.0
2025-04-06 04:09:28,PROGRESS MS-29,ISS (ZARYA),0.0
2025-04-06 04:09:28,TIANZHOU 8,SZ-19,0.0
2025-04-06 04:09:28,TIANZHOU 8,CSS (MENGTIAN),0.0
2025-04-06 04:09:28,TIANZHOU 8,CSS (WENTIAN),0.0
2025-04-06 04:09:28,TIANZHOU 8,CSS (TIANHE-1),0.0
2025-04-06 04:09:28,SZ-19,CSS (MENGTIAN),0.0
2025-04-06 04:09:28,SZ-19,CSS (WENTIAN),0.0
2025-04-06 04:09:28,SZ-19,CSS (TIANHE-1),0.0
2025-04-06 04:09:28,SOYUZ MS-26,ISS (NAUKA),0.0
2025-04-06 04:09:28,SOYUZ MS-26,ISS (ZARYA),0.0
2025-04-06 04:09:28,UMBRA-10,UMBRA-09,8.151217410948936
2025-04-06 04:09:28,TIANHUI 5D,TIANHUI 5C,0.6908945795426917
2025-04-06 04:09:28,STARLINK-31451,STARLINK-31549,3.2786650362159993
2025-04-06 04:09:28,TIANHUI 5B,TIANHUI 5A,1.1995882666838102
2025-04-06 04:09:28,CSS (MENGTIAN),CSS (WENTIAN),0.0
2025-04-06 04:09:28,CSS (MENGTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:09:28,CSS (WENTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:09:28,STARLINK-3791,STARLINK-1547,9.251140033732199
2025-04-06 04:09:28,STARLINK-3460,STARLINK-2454,8.2399980103489
2025-04-06 04:09:28,TIANHUI 2-02B,TIANHUI 2-02A,0.8447002118750181
2025-04-06 04:09:28,ISS (NAUKA),ISS (ZARYA),0.0
2025-04-06 04:09:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 04:09:28,MEV-1,INTELSAT 901,0.0
2025-04-06 04:09:28,TIANHUI 2-01B,TIANHUI 2-01A,0.09588437870429935
2025-04-06 04:09:28,O3B FM19,O3B FM13,3.439819430213542
2025-04-06 04:09:28,TANDEM X,TERRA SAR X,0.6875371608136122
2025-04-06 04:19:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 04:19:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 04:19:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 04:19:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 04:19:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
2025-04-06 04:19:28,PROGRESS MS-30,PROGRESS MS-29,0.0
2025-04-06 04:19:28,PROGRESS MS-30,SOYUZ MS-26,0.0
2025-04-06 04:19:28,PROGRESS MS-30,ISS (NAUKA),0.0
2025-04-06 04:19:28,PROGRESS MS-30,ISS (ZARYA),0.0
2025-04-06 04:19:28,COSMOS 2582,COSMOS 2581,0.14251339806531246
2025-04-06 04:19:28,TROLL,OTTER,8.608233822017446
2025-04-06 04:19:28,SUPERVIEW NEO-2 04,SUPERVIEW NEO-2 03,1.227344858070449
2025-04-06 04:19:28,PROGRESS MS-29,SOYUZ MS-26,0.0
2025-04-06 04:19:28,PROGRESS MS-29,ISS (NAUKA),0.0
2025-04-06 04:19:28,PROGRESS MS-29,ISS (ZARYA),0.0
2025-04-06 04:19:28,TIANZHOU 8,SZ-19,0.0
2025-04-06 04:19:28,TIANZHOU 8,CSS (MENGTIAN),0.0
2025-04-06 04:19:28,TIANZHOU 8,CSS (WENTIAN),0.0
2025-04-06 04:19:28,TIANZHOU 8,CSS (TIANHE-1),0.0
2025-04-06 04:19:28,SZ-19,CSS (MENGTIAN),0.0
2025-04-06 04:19:28,SZ-19,CSS (WENTIAN),0.0
2025-04-06 04:19:28,SZ-19,CSS (TIANHE-1),0.0
2025-04-06 04:19:28,SOYUZ MS-26,ISS (NAUKA),0.0
2025-04-06 04:19:28,SOYUZ MS-26,ISS (ZARYA),0.0
2025-04-06 04:19:28,UMBRA-10,UMBRA-09,7.25120786755836
2025-04-06 04:19:28,TIANHUI 5D,TIANHUI 5C,1.024448311594666
2025-04-06 04:19:28,STARLINK-31451,STARLINK-31549,4.944397404777949
2025-04-06 04:19:28,TIANHUI 5B,TIANHUI 5A,0.7969848723001743
2025-04-06 04:19:28,CSS (MENGTIAN),CSS (WENTIAN),0.0
2025-04-06 04:19:28,CSS (MENGTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:19:28,STARLINK-4783,STARLINK-1231,9.97825310075827
2025-04-06 04:19:28,CSS (WENTIAN),CSS (TIANHE-1),0.0
2025-04-06 04:19:28,STARLINK-4259,STARLINK-2698,8.453679139749841
2025-04-06 04:19:28,STARLINK-4014,STARLINK-1039,8.794893576770082
2025-04-06 04:19:28,TIANHUI 2-02B,TIANHUI 2-02A,1.0572879362981387
2025-04-06 04:19:28,ISS (NAUKA),ISS (ZARYA),0.0
2025-04-06 04:19:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 04:19:28,MEV-1,INTELSAT 901,0.0
2025-04-06 04:19:28,TIANHUI 2-01B,TIANHUI 2-01A,0.41588418264583715
2025-04-06 04:19:28,O3B FM19,O3B FM13,4.377795866243749
2025-04-06 04:19:28,TANDEM X,TERRA SAR X,0.5429310888310848
